seq_length,d_head,dtype,flash_fwd_ms,naive_fwd_ms,flash_bwd_ms,naive_bwd_ms,flash_fwd_bwd_ms,naive_fwd_bwd_ms
128,128,torch.float16,0.2685,1.1772,0.4797,0.8402,0.7482,2.0173
256,128,torch.float16,0.1409,0.3834,0.3838,0.8864,0.5247,1.2698
512,128,torch.float16,0.1504,0.3062,0.3554,0.6212,0.5059,0.9274
1024,128,torch.float16,0.1332,0.3197,0.496,1.2589,0.6293,1.5786
2048,128,torch.float16,0.3513,0.2993,0.5165,0.8143,0.8678,1.1136
4096,128,torch.float16,0.502,0.3751,0.6821,1.1544,1.1841,1.5294
8192,128,torch.float16,0.5549,2.3015,2.5689,5.5867,3.1238,7.8882
16384,128,torch.float16,1.9283,9.161,8.9034,22.0802,10.8317,31.2412
32768,128,torch.float16,6.9627,35.5215,32.7583,5489.9097,39.721,5525.4311
128,128,torch.float32,0.3335,0.9155,0.6223,0.8323,0.9558,1.7478
256,128,torch.float32,0.0519,0.538,0.6486,1.7806,0.7005,2.3186
512,128,torch.float32,0.0545,0.2053,0.6732,1.642,0.7277,1.8473
1024,128,torch.float32,0.0557,0.5276,0.5488,1.7267,0.6044,2.2543
2048,128,torch.float32,0.0981,0.228,0.4818,0.7468,0.5799,0.9748
4096,128,torch.float32,0.2936,0.5363,5.3102,7.3115,5.6038,7.8478
8192,128,torch.float32,3.2636,15.5094,40.1598,26.4005,43.4234,41.9099
16384,128,torch.float32,10.1353,12.0508,14.7163,22.3884,24.8516,34.4392
32768,128,torch.float32,12.3766,4476.8574,72.6277,5356.9209,85.0043,9833.7783
