seq_length,d_head,dtype,flash_fwd_ms,naive_fwd_ms,flash_bwd_ms,naive_bwd_ms,flash_fwd_bwd_ms,naive_fwd_bwd_ms
128,128,torch.float16,0.5901,0.3004,0.4271,0.6660,1.0172,0.9664
256,128,torch.float16,0.2477,0.3200,0.4298,0.6399,0.6774,0.9599
512,128,torch.float16,0.1266,0.3043,0.4466,1.7902,0.5732,2.0945
1024,128,torch.float16,0.1132,0.3334,0.4750,1.3598,0.5882,1.6931
2048,128,torch.float16,0.3274,0.5896,0.5689,0.9411,0.8963,1.5307
4096,128,torch.float16,0.1702,0.4669,0.6610,1.1612,0.8313,1.6281
8192,128,torch.float16,0.5602,2.2385,2.5444,5.4330,3.1046,7.6715
16384,128,torch.float16,1.9099,8.9194,8.6948,21.3026,10.6047,30.2220
128,128,torch.float32,0.1937,0.8811,0.3746,0.8437,0.5683,1.7248
256,128,torch.float32,0.0699,0.2472,0.3531,0.9682,0.4230,1.2154
512,128,torch.float32,0.2233,0.8386,0.3252,0.6127,0.5484,1.4513
1024,128,torch.float32,0.2254,0.2688,0.4212,1.1192,0.6465,1.3880
2048,128,torch.float32,0.2029,0.2452,0.4213,0.5825,0.6242,0.8277
4096,128,torch.float32,0.2419,0.4442,1.2330,1.2508,1.4749,1.6950
8192,128,torch.float32,0.9327,2.3922,4.5161,5.8173,5.4488,8.2094
16384,128,torch.float32,3.4423,9.4046,14.9069,22.5918,18.3492,31.9964
